FIPS,LDSCNG,LDSADH,POP2010,CNTYNAME,STABBR,LDSCNG_2020,LDSADH_2020,POP2020,COUNAM,STABBREV,pct_change_lds,pct_change_cong,county_name,state_abbr,fips,fips_str,urban_rural_category
1001,1.0,820.0,54571.0,Autauga County,AL,1.0,553.0,58805,Autauga County,AL,-32.5609756097561,0.0,Autauga County,AL,1001,1001,suburban
1003,2.0,1022.0,182265.0,Baldwin County,AL,3.0,1521.0,231767,Baldwin County,AL,48.82583170254403,50.0,Baldwin County,AL,1003,1003,suburban
1005,1.0,265.0,27457.0,Barbour County,AL,1.0,369.0,25223,Barbour County,AL,39.24528301886792,0.0,Barbour County,AL,1005,1005,rural
1007,,,22915.0,Bibb County,AL,,,22293,Bibb County,AL,,,Bibb County,AL,1007,1007,urban
1009,1.0,291.0,57322.0,Blount County,AL,1.0,461.0,59134,Blount County,AL,58.41924398625429,0.0,Blount County,AL,1009,1009,urban
1011,,,10914.0,Bullock County,AL,,,10357,Bullock County,AL,,,Bullock County,AL,1011,1011,rural
1013,1.0,102.0,20947.0,Butler County,AL,,,19051,Butler County,AL,,,Butler County,AL,1013,1013,rural
1015,2.0,1149.0,118572.0,Calhoun County,AL,1.0,553.0,116441,Calhoun County,AL,-51.87119234116623,-50.0,Calhoun County,AL,1015,1015,suburban
1017,1.0,237.0,34215.0,Chambers County,AL,1.0,553.0,34772,Chambers County,AL,133.33333333333334,0.0,Chambers County,AL,1017,1017,rural
1019,,,25989.0,Cherokee County,AL,,,24971,Cherokee County,AL,,,Cherokee County,AL,1019,1019,rural
1021,1.0,247.0,43643.0,Chilton County,AL,1.0,461.0,45014,Chilton County,AL,86.63967611336032,0.0,Chilton County,AL,1021,1021,urban
1023,1.0,157.0,13859.0,Choctaw County,AL,1.0,231.0,12665,Choctaw County,AL,47.13375796178344,0.0,Choctaw County,AL,1023,1023,rural
1025,1.0,95.0,25833.0,Clarke County,AL,,,23087,Clarke County,AL,,,Clarke County,AL,1025,1025,rural
1027,,,13932.0,Clay County,AL,,,14236,Clay County,AL,,,Clay County,AL,1027,1027,rural
1029,,,14972.0,Cleburne County,AL,,,15056,Cleburne County,AL,,,Cleburne County,AL,1029,1029,rural
1031,1.0,805.0,49948.0,Coffee County,AL,1.0,507.0,53465,Coffee County,AL,-37.01863354037267,0.0,Coffee County,AL,1031,1031,rural
1033,,,54428.0,Colbert County,AL,,,57227,Colbert County,AL,,,Colbert County,AL,1033,1033,suburban
1035,,,13228.0,Conecuh County,AL,,,11597,Conecuh County,AL,,,Conecuh County,AL,1035,1035,rural
1037,,,11539.0,Coosa County,AL,,,10387,Coosa County,AL,,,Coosa County,AL,1037,1037,rural
1039,1.0,269.0,37765.0,Covington County,AL,1.0,231.0,37570,Covington County,AL,-14.12639405204461,0.0,Covington County,AL,1039,1039,rural
1041,1.0,221.0,13906.0,Crenshaw County,AL,1.0,231.0,13194,Crenshaw County,AL,4.524886877828054,0.0,Crenshaw County,AL,1041,1041,rural
1043,1.0,619.0,80406.0,Cullman County,AL,1.0,507.0,87866,Cullman County,AL,-18.093699515347332,0.0,Cullman County,AL,1043,1043,rural
1045,2.0,863.0,50251.0,Dale County,AL,2.0,922.0,49326,Dale County,AL,6.836616454229432,0.0,Dale County,AL,1045,1045,rural
1047,1.0,329.0,43820.0,Dallas County,AL,1.0,369.0,38462,Dallas County,AL,12.1580547112462,0.0,Dallas County,AL,1047,1047,rural
